"nom","adresse","codepostal","ville","coords"
"Ergatica Compagnie","",49000,"Les-Ponts-De-Cé","[47.4286962,-0.5270662]"
"Zig Zag Compagnie","",49000,"Les-Ponts-De-Cé","[47.4286962,-0.5270662]"
"Oeildudo Compagnie","",49000,"Les-Ponts-De-Cé","[47.4286962,-0.5270662]"
"Compagnie A","",49000,"Angers","[47.4739884,-0.5515588]"
"A Travers Champs Compagnie","",49000,"Chanzeaux","[47.26906745,-0.657461008715596]"
"Oscar Et Molière Compagnie","",49000,"Daumeray","[47.6885516,-0.356434598024863]"
"Yédélé Compagnie","",49000,"Les-Ponts-De-Cé","[47.4286962,-0.5270662]"
"La Trébuche Compagnie","",49000,"Doué En Anjou","[47.19897355,-0.311609027596023]"
"Nomorpa Compagnie","",49000,"Mûrs-Erigné","[47.3992042,-0.5361153]"
"Bagoulu Compagnie","",49000,"Angers","[47.4739884,-0.5515588]"
"Omi Sissi Compagnie","",49000,"Ste Gemmes Sur Loire","[47.4243064,-0.5587967]"
"Kwal","",49000,"Angers","[47.4739884,-0.5515588]"
"Lilli Desastres","",49000,"Angers","[47.4739884,-0.5515588]"
"Picnic Production - Les Établissements Bam","",49000,"St Barthélemy D'Anjou","[47.4683081,-0.4932941]"
"Map Cie","",49000,"Angers","[47.4739884,-0.5515588]"
"Nom D'Un Bouc Compagnie","",49000,"Ste Gemmes Sur Loire","[47.4243064,-0.5587967]"
"Cie Plume","",49000,"Montreuil Juigné","[47.5291981,-0.6099197]"
"Collectif Citron","",49000,"Ste Gemmes Sur Loire","[47.4243064,-0.5587967]"
"Gaïa Compagnie","",49000,"Angers","[47.4739884,-0.5515588]"
"Lezarts Verts","",49000,"Angers","[47.4739884,-0.5515588]"
"Il Est Doux De Faire Les Fous Compagnie","",49000,"Les-Ponts-De-Cé","[47.4286962,-0.5270662]"
"La Fille Du Vent","3 La Roche",72310,"La Chapelle Gaugain","[47.8084196,0.6385215]"
"Cet Été","35 rue de Degré",72000,"Le Mans","[48.0148721,0.1832314]"
"Cinémaniak Et Cie","",72000,"Le Mans","[48.0073498,0.1967379]"
"Cronopios","",72000,"Le Mans","[48.0073498,0.1967379]"
"Exodus","Espace Culturel Scelia, rue Didier Pironi",72190,"Sargé-lès-le Mans","[48.0356459,0.2387658]"
"Fais Pas Ci Fais Pas Ça","",72000,"Le Mans","[48.0073498,0.1967379]"
"Houlala Cie","",72000,"Sablé Sur Sarthe","[47.8400712,-0.3352048]"
"J’ai Trois Poules","",72000,"Connerré","[48.0604578,0.4933923]"
"La Cave À Danse","",72000,"Mamers","[48.3547,0.371483]"
"La Chaise","",72000,"Mamers","[48.3547,0.371483]"
"Labôart","",72000,"Le Mans","[48.0073498,0.1967379]"
"Nba Spectacles – Rozen Bodin","35 rue de Degré",72000,"Le Mans","[48.0148721,0.1832314]"
"Paf Théâtre","",72000,"Le Mans","[48.0073498,0.1967379]"
"Cie Points De Suspension","",72000,"Le Mans","[48.0073498,0.1967379]"